Medicine name,EML section,Formulations,Indication,ATC codes,Combined with,Status,clean_name,match_aliases
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Peritoneal abscess (mild-moderate),J01DD04,metronidazole,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Peritoneal abscess (severe),J01DD04,metronidazole,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Endophthalmitis,J01DD04,vancomycin,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Bacterial pneumonia (Community-acquired pneumonia - severe),J01DD04,clarithromycin,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Bacterial pneumonia (Community-acquired pneumonia - severe) [children],J01DD04,,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Necrotising fasciitis,J01DD04,metronidazole,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Acute pyelonephritis (mild to moderate),J01DD04,,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Inflammatory and other diseases of prostate (mild to moderate),J01DD04,,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Sepsis without septic shock,J01DD04,,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Infectious gastroenteritis or colitis without specification of infectious agent,J01DD04,,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Bacterial infection of joint,J01DD04,,Added,ceftriaxone,['ceftriaxone']
ceftriaxone,Watch group antibiotics,"Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > Locoregional injections > Intravitreal: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt); 2 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)
Parenteral > General injections > unspecified: 2 g in vial; 250 mg in vial powder for injection (as sodium salt); 500 mg in vial powder for injection (as sodium salt); 1 g in vial powder for injection (as sodium salt)",Osteomyelitis or osteitis,J01DD04,,Added,ceftriaxone,['ceftriaxone']
cefuroxime,Watch group antibiotics,Parenteral > General injections > IV: 250 mg in vial (as sodium salt) powder for injection; 750 mg in vial (as sodium salt) powder for injection; 1.5 g in vial (as sodium salt) powder for injection,Other specified prophylactic measures,J01DC02,,Added,cefuroxime,['cefuroxime']
certolizumab pegol,Immunomodulators for non-malignant disease,,Axial spondyloarthritis,,,Added,certolizumab pegol,"['certolizumab', 'pegol', 'certolizumab pegol']"
certolizumab pegol,Immunomodulators for non-malignant disease,,Crohn disease site,,,Added,certolizumab pegol,"['certolizumab', 'pegol', 'certolizumab pegol']"
certolizumab pegol,Immunomodulators for non-malignant disease,,Rheumatoid arthritis,,,Added,certolizumab pegol,"['certolizumab', 'pegol', 'certolizumab pegol']"
certolizumab pegol,Medicines for juvenile joint diseases,,Juvenile idiopathic arthritis,,,Added,certolizumab pegol,"['certolizumab', 'pegol', 'certolizumab pegol']"
cetirizine,Antiallergics and medicines used in anaphylaxis,,Allergic or hypersensitivity conditions of unspecified type,,,Added,cetirizine,['cetirizine']
chlorambucil,Cytotoxic medicines,Oral > Solid: 2 mg tablet,Chronic lymphocytic leukaemia or small lymphocytic lymphoma,L01AA02,,Added,chlorambucil,['chlorambucil']
chloramphenicol,Access group antibiotics,"Parenteral > General injections > IV: 1 g in vial powder for injection (sodium succinate)
Parenteral > General injections > IM: 500 mg in 2 mL ampoule oily suspension for injection
Oral > Liquid: 150 mg per 5 mL (as palmitate)
Oral > Solid: 250 mg capsule",Bacterial meningitis,J01BA01,,Added,chloramphenicol,['chloramphenicol']
chlorhexidine,Medicines administered to the neonate [c],"Local > Topical > Solution: 7.1% chlorhexidine digluconate (delivering 4% chlorhexidine)
Local > Topical > Gel: 7.1% chlorhexidine digluconate (delivering 4% chlorhexidine)",Omphalitis of newborn,D08AC02,,Added,chlorhexidine,['chlorhexidine']
chlorhexidine,Antiseptics,Local > Topical > Solution: 5% (digluconate) for dilution,Chlorhexidine,D08AC02,,Added,chlorhexidine,['chlorhexidine']
chlorine base compound,Disinfectants,"Local > Topical > Powder: 0.1% available chlorine for solution
Local > Topical > Liquid: 0.1% available chlorine for solution
Local > Topical > Solid: 0.1% available chlorine for solution","Disinfectant, not elsewhere classified",V07AV,,Added,chlorine base compound,"['chlorine base compound', 'base', 'compound', 'chlorine']"
chloroquine,Antimalarial medicines > For chemoprevention,"Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate)",Malaria due to Plasmodium vivax,P01BA01,,Added,chloroquine,['chloroquine']
chloroquine,Antimalarial medicines > For chemoprevention,"Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate)",Malaria due to Plasmodium ovale,P01BA01,,Added,chloroquine,['chloroquine']
chloroquine,Antimalarial medicines > For chemoprevention,"Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate)",Malaria due to Plasmodium malariae,P01BA01,,Added,chloroquine,['chloroquine']
chloroquine,Antimalarial medicines > For curative treatment,"Parenteral > General injections > IV: 40 mg per  mL in 5 mL ampoule (as hydrochloride, phosphate or sulfate)
Oral > Liquid: 50 mg per 5 mL syrup (as phosphate or sulfate)
Oral > Solid: 150 mg tablet (as phosphate or sulfate); 100 mg tablet (as phosphate or sulfate)",Malaria due to Plasmodium vivax,P01BA01,,Added,chloroquine,['chloroquine']
chloroquine,Disease-modifying anti-rheumatic drugs (DMARDs),Oral > Solid: 100 mg tablet (as phosphate or sulfate); 150 mg tablet (as phosphate or sulfate),Rheumatoid arthritis,P01BA01,,Added,chloroquine,['chloroquine']
chlorothiazide,Antihypertensive medicines,,Essential hypertension,,,Added,chlorothiazide,['chlorothiazide']
chlorothiazide,Medicines used in heart failure,,Heart failure,,,Added,chlorothiazide,['chlorothiazide']
chloroxylenol,Disinfectants,Local > Topical > Solution: 4.8%,"Phenol disinfectant, not elsewhere classified",D08AE05,,Added,chloroxylenol,['chloroxylenol']
chlorpromazine,Medicines for psychotic disorders,"Oral > Liquid: 25 mg per 5 mL (hydrochloride)
Oral > Solid: 100 mg (hydrochloride)
Oral > Solid: 100 mg (hydrochloride); 10 mg (hydrochloride); 25 mg (hydrochloride); 50 mg (hydrochloride)
Parenteral > General injections > unspecified: 25 mg per  mL in 2 mL ampoule (hydrochloride)",Schizophrenia or other primary psychotic disorders,,,Added,chlorpromazine,['chlorpromazine']
chlortalidone,Antihypertensive medicines,,Essential hypertension,,,Added,chlortalidone,['chlortalidone']
chlortalidone,Medicines used in heart failure,,Heart failure,,,Added,chlortalidone,['chlortalidone']
chlortetracycline,Ophthalmological preparations > Anti-infective agents,,Other specified conjunctivitis,,,Added,chlortetracycline,['chlortetracycline']
chlortetracycline,Ophthalmological preparations > Anti-infective agents,,Infectious keratitis,,,Added,chlortetracycline,['chlortetracycline']
chlortetracycline,Ophthalmological preparations > Anti-infective agents,,Infectious blepharitis,,,Added,chlortetracycline,['chlortetracycline']
chlortetracycline,Ophthalmological preparations > Anti-infective agents,,Trachoma,,,Added,chlortetracycline,['chlortetracycline']
cholera vaccine,Recommendations for some high-risk populations,All vaccines should comply with the WHO requirements for biological substances.,Need for immunization against cholera alone,J07AE01,,Added,cholera vaccine,"['cholera', 'vaccine', 'cholera vaccine']"
ciclesonide,Antiasthmatic and medicines for chronic obstructive pulmonary disease,,Asthma,,,Added,ciclesonide,['ciclesonide']
ciclosporin,Immunomodulators for non-malignant disease,"Parenteral > General injections > IV: 50 mg per  mL in 1 mL ampoule concentrate for injection
Oral > Liquid: 100 mg per  mL
Oral > Solid > capsule: 25 mg",Failure or rejection of transplanted organs or tissues,L04AD01,,Added,ciclosporin,['ciclosporin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Acute pyelonephritis (mild to moderate),J01MA02,,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Infectious gastroenteritis or colitis without specification of infectious agent,J01MA02,,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Paratyphoid fever,J01MA02,,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Typhoid fever,J01MA02,,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Neutropenia (low-risk),J01MA02,,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Inflammatory and other diseases of prostate (mild to moderate),J01MA02,,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Cholera,J01MA02,,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Cholera [children],J01MA02,,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Peritonitis (mild-moderate),J01MA02,metronidazole,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,Watch group antibiotics,"Parenteral > General injections > IV: 2 mg per  mL (as hyclate)
Oral > Liquid: 250 mg per 5 mL (anhydrous)
Oral > Solid: 250 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride); 100 mg (as hydrochloride)
Oral > Solid > dosage form: 250 mg (as hydrochloride); 500 mg (as hydrochloride)",Peritoneal abscess (mild-moderate),J01MA02,metronidazole,Added,ciprofloxacin,['ciprofloxacin']
ciprofloxacin,"Ear, nose and throat medicines [c]",Local > Otological > drops: 0.3% (as hydrochloride),Infectious diseases of external ear,S02AA15,,Added,ciprofloxacin,['ciprofloxacin']
cisplatin,Cytotoxic medicines,"Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL",Other specified gliomas of brain,L01XA01,,Added,cisplatin,['cisplatin']
cisplatin,Cytotoxic medicines,"Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL",Other specified malignant neoplasms of the ovary,L01XA01,,Added,cisplatin,['cisplatin']
cisplatin,Cytotoxic medicines,"Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL",Other specified malignant neoplasms of bronchus or lung,L01XA01,,Added,cisplatin,['cisplatin']
cisplatin,Cytotoxic medicines,"Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL",Malignant neoplasms of nasopharynx,L01XA01,,Added,cisplatin,['cisplatin']
cisplatin,Cytotoxic medicines,"Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL",Germ cell tumour of testis,L01XA01,,Added,cisplatin,['cisplatin']
cisplatin,Cytotoxic medicines,"Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL",Osteosarcoma of bone and articular cartilage of unspecified sites,L01XA01,,Added,cisplatin,['cisplatin']
cisplatin,Cytotoxic medicines,"Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL","Malignant neoplasms of lip, oral cavity or pharynx",L01XA01,,Added,cisplatin,['cisplatin']
cisplatin,Cytotoxic medicines,"Parenteral > General injections > unspecified: 10 mg in vial powder for injection; 50 mg in vial powder for injection
Parenteral > General injections > IV: 50 mg per 50 mL; 100 mg per 100 mL; 10 mg per 10 mL; 20 mg per 20 mL",Malignant neoplasms of cervix uteri,L01XA01,,Added,cisplatin,['cisplatin']
cladribine,Medicines for multiple sclerosis,Oral > Solid > tablet: 10 mg,Multiple sclerosis,L04AA40,,Added,cladribine,['cladribine']
clarithromycin,Watch group antibiotics,"Oral > Liquid: 125 mg per 5 mL powder for oral liquid; 250 mg per 5 mL powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Oral > Solid > dosage form: 500 mg; 250 mg
Oral > Solid > dosage form: 500 mg",Bacterial pneumonia (Community-acquired pneumonia - severe),J01FA09,cefotaxime,Added,clarithromycin,['clarithromycin']
clarithromycin,Watch group antibiotics,"Oral > Liquid: 125 mg per 5 mL powder for oral liquid; 250 mg per 5 mL powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Oral > Solid > dosage form: 500 mg; 250 mg
Oral > Solid > dosage form: 500 mg",Bacterial pneumonia (Community-acquired pneumonia - severe),J01FA09,ceftriaxone,Added,clarithromycin,['clarithromycin']
clarithromycin,Watch group antibiotics,"Oral > Liquid: 125 mg per 5 mL powder for oral liquid; 250 mg per 5 mL powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Oral > Solid > dosage form: 500 mg; 250 mg
Oral > Solid > dosage form: 500 mg",Acute pharyngitis,J01FA09,,Added,clarithromycin,['clarithromycin']
clarithromycin,Watch group antibiotics,"Oral > Liquid: 125 mg per 5 mL powder for oral liquid; 250 mg per 5 mL powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Oral > Solid > dosage form: 500 mg; 250 mg
Oral > Solid > dosage form: 500 mg",Bacterial pneumonia (Community-acquired pneumonia - severe),J01FA09,amoxicillin + clavulanic acid,Added,clarithromycin,['clarithromycin']
clarithromycin,Watch group antibiotics,"Oral > Liquid: 125 mg per 5 mL powder for oral liquid; 250 mg per 5 mL powder for oral liquid
Parenteral > General injections > unspecified: 500 mg in vial powder for injection
Oral > Solid > dosage form: 500 mg; 250 mg
Oral > Solid > dosage form: 500 mg",Helicobacter pylori associated gastric ulcer,J01FA09,,Added,clarithromycin,['clarithromycin']
clindamycin,Access group antibiotics,"Oral > Liquid: 75 mg per 5 mL (as palmitate hydrochloride)
Oral > Solid: 150 mg (as hydrochloride) capsule
Parenteral > General injections > unspecified: 150 mg per  mL (as phosphate) injection
Parenteral > General injections > IV: 150 mg per  mL (as phosphate); 600 mg per 4 mL (as phosphate); 900 mg per 6 mL (as phosphate)
Oral > Liquid: 75 mg per 5 mL powder for oral liquid (as palmitate hydrochloride)
Oral > Solid: 150 mg (as hydrochloride)",Necrotising fasciitis,J01FF01,piperacillin + tazobactam,Added,clindamycin,['clindamycin']
